what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1532392367300
os,sysinfo,,,"win32",1532392367300
arch,sysinfo,,,"x86",1532392367300
ws,sysinfo,,,"win32",1532392367300
locale,sysinfo,,,"zh_CN",1532392367300
processors,sysinfo,,,"4",1532392367300
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1532392367300
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1532392367300
java.specification.name,sysinfo,,,"Java Platform API Specification",1532392367300
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1532392367300
java.specification.version,sysinfo,,,"1.6",1532392367300
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1532392367300
java.version,sysinfo,,,"1.6.0_10-rc2",1532392367300
java.vm.info,sysinfo,,,"mixed mode",1532392367300
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1532392367300
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1532392367300
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1532392367300
java.vm.specification.version,sysinfo,,,"1.0",1532392367300
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1532392367300
java.vm.version,sysinfo,,,"11.0-b15",1532392367300
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1532392431127
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1532392431142
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1532392431298
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1532392433404
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1532392434902
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1532392434902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1532392438006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1532392445385
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1532392445510
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1532392445510
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1532392448911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1532392449269
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1532392453263
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1532392453357
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1532392453419
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1532392453528
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1532392453528
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1532392453544
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1532392453559
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1532392453591
