what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1541142708854
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541142709103
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541142709103
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1541142716685
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541142716888
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541142716903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142718261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142718276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142720850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142721864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142721895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142723362
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1541142723377
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541142727824
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541142727856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142731084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142759508
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142760785
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142761942
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142762287
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142762565
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142763503
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1541142765518
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541142782226
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541142782241
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1541142786718
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541142786952
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541142786968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142788481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142788497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142790743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142791570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142791601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142792381
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1541142792397
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541142796315
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541142796331
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142811430
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142812166
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1541142813026
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541142823010
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142831657
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142832783
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142833487
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142834597
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142834797
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1541142841439
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1541142843670
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541142845122
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1541142847634
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541142862047
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541142862065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142863618
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142863624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142865893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142866811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142866835
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142867653
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1541142867658
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541142871746
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541142871777
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142881429
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142881429
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142881429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142881482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142885288
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142886798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142886841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142887464
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142888365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142888406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142888983
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1541142891125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142891174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142892038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142896168
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142901716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142903742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541142939648
