what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1541144781610
error,log,,,"Core exception while retrieving the content description",1541144782106
error,log,,,"Core exception while retrieving the content description",1541144782108
error,log,,,"Core exception while retrieving the content description",1541144782109
error,log,,,"Core exception while retrieving the content description",1541144782111
error,log,,,"Core exception while retrieving the content description",1541144782112
error,log,,,"Core exception while retrieving the content description",1541144783267
error,log,,,"Core exception while retrieving the content description",1541144783267
error,log,,,"Core exception while retrieving the content description",1541144783271
error,log,,,"Core exception while retrieving the content description",1541144783271
error,log,,,"Core exception while retrieving the content description",1541144783272
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541144785436
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541144785467
error,log,,,"Core exception while retrieving the content description",1541144785789
error,log,,,"Core exception while retrieving the content description",1541144785790
error,log,,,"Core exception while retrieving the content description",1541144785790
error,log,,,"Core exception while retrieving the content description",1541144785791
error,log,,,"Core exception while retrieving the content description",1541144785791
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1541144795135
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541144798526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1541144823773
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1541144826024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1541144839488
error,log,,,"Core exception while retrieving the content description",1541144839867
error,log,,,"Core exception while retrieving the content description",1541144839869
error,log,,,"Core exception while retrieving the content description",1541144839870
error,log,,,"Core exception while retrieving the content description",1541144839872
error,log,,,"Core exception while retrieving the content description",1541144839874
error,log,,,"Core exception while retrieving the content description",1541144841263
error,log,,,"Core exception while retrieving the content description",1541144841264
error,log,,,"Core exception while retrieving the content description",1541144841264
error,log,,,"Core exception while retrieving the content description",1541144841265
error,log,,,"Core exception while retrieving the content description",1541144841265
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1541144842434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1541144843217
error,log,,,"Core exception while retrieving the content description",1541144845186
error,log,,,"Core exception while retrieving the content description",1541144845188
error,log,,,"Core exception while retrieving the content description",1541144845190
error,log,,,"Core exception while retrieving the content description",1541144845192
error,log,,,"Core exception while retrieving the content description",1541144845193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541144845900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541144846807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541144846824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1541144847567
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1541144847574
error,log,,,"Core exception while retrieving the content description",1541144848093
error,log,,,"Core exception while retrieving the content description",1541144848094
error,log,,,"Core exception while retrieving the content description",1541144848094
error,log,,,"Core exception while retrieving the content description",1541144848095
error,log,,,"Core exception while retrieving the content description",1541144848095
error,log,,,"Core exception while retrieving the content description",1541144849253
error,log,,,"Core exception while retrieving the content description",1541144849254
error,log,,,"Core exception while retrieving the content description",1541144849255
error,log,,,"Core exception while retrieving the content description",1541144849256
error,log,,,"Core exception while retrieving the content description",1541144849256
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541144851406
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1541144851421
error,log,,,"Core exception while retrieving the content description",1541144851530
error,log,,,"Core exception while retrieving the content description",1541144851531
error,log,,,"Core exception while retrieving the content description",1541144851532
error,log,,,"Core exception while retrieving the content description",1541144851532
